Date,Open,High,Low,Close,Adj Close,Volume
2018-01-01,28.775000,30.000000,27.799999,28.400000,26.611412,10025
2018-02-01,28.400000,28.400000,27.000000,27.600000,25.861795,2969
2018-03-01,27.799999,27.799999,25.400000,26.000000,24.362558,13863
2018-04-01,26.000000,26.600000,25.799999,26.200001,24.549963,4244
2018-05-01,26.200001,33.799999,26.200001,30.200001,28.298052,16450
2018-06-01,30.600000,30.600000,29.200001,30.299999,28.927444,5453
2018-07-01,30.200001,33.200001,30.200001,33.200001,31.696079,9741
2018-08-01,34.000000,34.000000,31.400000,32.400002,30.932322,4480
2018-09-01,32.400002,33.400002,31.799999,32.400002,30.932322,2681
2018-10-01,32.599998,33.200001,30.600000,31.400000,29.977613,3487
2018-11-01,31.200001,31.799999,28.600000,30.600000,29.213854,8168
2018-12-01,31.000000,31.400000,28.200001,29.200001,27.877275,4678
2019-01-01,29.200001,33.200001,29.200001,31.600000,30.168558,6225
2019-02-01,31.600000,33.000000,30.400000,32.000000,30.550436,6078
2019-03-01,31.200001,32.000000,29.000000,31.799999,30.359495,9746
2019-04-01,32.400002,33.000000,31.000000,32.799999,31.314196,2721
2019-05-01,32.799999,34.799999,32.400002,33.599998,32.077961,5921
2019-06-01,33.000000,34.000000,30.799999,30.799999,29.981359,5729
2019-07-01,32.400002,32.400002,30.000000,31.400000,30.565413,8481
2019-08-01,31.799999,37.799999,30.600000,36.599998,35.627201,10758
2019-09-01,37.000000,39.000000,34.200001,39.000000,37.963409,6616
2019-10-01,39.000000,39.000000,36.200001,37.799999,36.795303,7021
2019-11-01,39.000000,49.799999,38.400002,49.599998,48.281673,15886
2019-12-01,50.000000,61.000000,49.000000,50.500000,49.157753,21352
2020-01-01,50.500000,52.500000,43.200001,48.200001,46.918880,18281
2020-02-01,48.200001,51.000000,40.799999,40.799999,39.715565,13638
2020-03-01,44.400002,48.000000,32.000000,46.799999,45.556091,25970
2020-04-01,47.599998,53.500000,47.599998,49.400002,48.086987,8850
2020-05-01,49.400002,52.000000,46.799999,47.200001,45.945465,13665
2020-06-01,47.200001,52.000000,47.000000,49.000000,48.049446,14601
2020-07-01,49.799999,50.000000,48.200001,49.000000,48.049446,8457
2020-08-01,49.599998,52.000000,47.599998,49.799999,49.186699,6496
2020-09-01,49.200001,55.500000,48.200001,53.000000,52.347290,12919
2020-10-01,54.500000,55.000000,50.000000,51.000000,50.371922,7032
2020-11-01,51.000000,57.500000,50.000000,55.500000,54.816502,13097
2020-12-01,56.000000,58.000000,52.500000,56.000000,55.310345,9200
2021-01-01,56.000000,60.000000,55.000000,58.000000,57.285713,7323
2021-02-01,58.000000,74.000000,57.000000,63.500000,62.717979,18203
2021-03-01,64.500000,77.500000,63.500000,74.500000,73.582512,12660
2021-04-01,75.000000,84.800003,70.599998,80.800003,79.804932,11803
2021-05-01,83.599998,85.400002,76.400002,79.800003,78.817245,9380
