Date,Open,High,Low,Close,Adj Close,Volume
2018-01-01,9.061000,9.355000,8.411000,8.459000,6.909904,276225764
2018-02-01,8.517000,8.779000,7.877000,8.360000,6.829034,300181873
2018-03-01,8.335000,9.470000,7.995000,9.020000,7.368169,375640421
2018-04-01,9.020000,9.173000,8.657000,9.072000,7.410646,234813648
2018-05-01,9.072000,9.669000,8.989000,9.072000,7.410646,270439837
2018-06-01,9.080000,9.524000,8.789000,9.154000,7.973147,254984259
2018-07-01,9.020000,9.950000,9.015000,9.644000,8.399937,228197307
2018-08-01,9.670000,9.748000,9.139000,9.180000,7.995793,247320248
2018-09-01,9.130000,9.246000,8.533000,8.780000,7.647391,396260170
2018-10-01,8.751000,8.817000,8.163000,8.556000,7.452288,193638986
2018-11-01,8.539000,9.310000,8.396000,9.005000,7.843368,228655569
2018-12-01,9.107000,9.274000,8.419000,8.627000,7.514129,184978557
2019-01-01,8.627000,9.711000,8.542000,9.680000,8.431293,209509387
2019-02-01,9.730000,9.833000,9.409000,9.685000,8.435649,146488911
2019-03-01,9.760000,10.144000,9.485000,9.912000,8.633365,202750208
2019-04-01,9.959000,10.118000,9.484000,9.568000,8.333741,166475907
2019-05-01,9.568000,9.678000,9.011000,9.349000,8.142991,210659029
2019-06-01,9.328000,10.260000,9.291000,9.551000,8.707332,174340684
2019-07-01,9.670000,9.886000,8.860000,9.054000,8.254233,170182039
2019-08-01,9.044000,9.272000,8.077000,8.455000,7.708144,227384507
2019-09-01,8.410000,9.145000,8.394000,8.919000,8.131158,207098578
2019-10-01,8.915000,9.140000,8.614000,9.037000,8.238735,179451079
2019-11-01,9.071000,9.635000,8.791000,9.498000,8.659014,180854247
2019-12-01,9.652000,9.734000,9.008000,9.524000,8.682716,168372930
2020-01-01,9.524000,10.476000,9.331000,10.240000,9.335470,169363457
2020-02-01,10.240000,11.562000,10.226000,10.430000,9.508687,190755745
2020-03-01,10.532000,11.270000,7.601000,9.441000,8.607048,449114769
2020-04-01,9.262000,9.342000,8.324000,9.146000,8.338106,223769630
2020-05-01,9.146000,10.210000,8.820000,9.506000,8.666306,215125018
2020-06-01,9.506000,10.400000,9.476000,10.015000,9.566026,204914045
2020-07-01,10.085000,10.810000,9.782000,9.936000,9.490567,168046774
2020-08-01,9.960000,10.260000,9.712000,9.910000,9.465733,128774161
2020-09-01,9.950000,10.405000,9.276000,9.428000,9.005342,151414200
2020-10-01,9.560000,9.866000,8.718000,8.952000,8.550680,146003800
2020-11-01,8.972000,9.698000,8.814000,9.076000,8.669122,195117889
2020-12-01,9.142000,9.254000,8.630000,9.064000,8.657660,171253646
2021-01-01,9.064000,9.214000,8.604000,8.730000,8.338632,230178066
2021-02-01,8.776000,8.930000,8.412000,8.450000,8.071184,177341261
2021-03-01,8.500000,9.942000,8.270000,9.924000,9.479105,278647839
2021-04-01,9.920000,10.252000,9.714000,10.026000,9.576532,165507395
2021-05-01,10.090000,10.718000,10.050000,10.484000,10.014000,125627386
