date:number,ugeo:text,D19:number,D22:number,D23:number,D15:number,D59:number,D16:number,D14:number,D97:number,index:number
1991,Italy,104.46859325,32128.16,32128.16,104.46859325,4434.139,14.4181385926,118.886731843,221.776081395,536.0
1991,Estonia,25.8696044,5885.017,3201.15811111,14.0717850019,83.3757777778,0.366506738664,14.4382917405,14.624372093,987.0
1991,Cyprus,1.743922,541.383,541.383,1.743922,0.0,0.0,1.743922,2.07662790698,840.0
1991,Bulgaria,29.15416482,7832.167,6080.57588889,22.6341077336,141.580555556,0.527014152274,23.1611218858,40.8546395349,567.0
1991,Sweden,8.80586769,2327.974,482.624,1.82558872566,161.364,0.610380542879,2.43596926853,147.369476744,17.0
1991,United Kingdom,200.88653618,51998.21,51998.21,200.88653618,3777.547,14.5939318313,215.480468011,322.816895349,668.0
1991,Czechia,53.89159658,13521.176,10468.3793333,41.7240095002,1313.69966667,5.23603660386,46.9600461041,60.5171046512,776.0
1991,European Union - 28 countries (2013-2020),1414.61149936,348007.324,300283.366222,1220.61885952,42487.7797778,172.70815213,1393.32701165,2639.12863953,528.0
1991,France,50.68474108,8721.635,8721.635,50.68474108,5086.36422222,29.5587987392,80.2435398192,455.4745,176.0
1991,Norway,None,89.989,31.0201111111,None,-1.27644444444,None,None,110.891034884,None
1991,Poland,224.1930957,39655.42,30523.0677778,172.563070959,4113.27944444,23.2545476036,195.817618562,134.689744186,1454.0
1991,Lithuania,12.88817264,4307.982,1942.05311111,5.81003257953,41.2474444444,0.123399815728,5.93343239526,29.3237325581,202.0
1991,Netherlands,40.67786628,12148.535,11710.1472222,39.2099790489,1352.66477778,4.52923063992,43.7392096888,74.2497674419,589.0
1991,Luxembourg,0.03749615,10.844,10.844,0.03749615,178.198,0.616169212256,0.653665362256,1.41474418605,462.0
1991,Austria,11.81798986,3478.503,2786.40855556,9.46664356919,979.428888889,3.32754655594,12.7941901251,51.4741976744,249.0
1991,Malta,1.60529122,462.559,462.559,1.60529122,0.0,0.0,1.60529122,1.41874418605,1131.0
1991,Spain,66.61052955,16362.019,16357.7723333,66.5932411753,625.037,2.54455428504,69.1377954603,155.772965116,444.0
