;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Capacité installée (GW);923;988;928,695;945,357;948,842;959,272;965,711;972,269;958,61303;1000
Conso européenne totale (TWh);2 873;2 875;3 025;2 933;2 997;2 964;2 861;2 882;2 841;2 661
