Date,Open,High,Low,Close,Adj Close,Volume
2018-01-01,14.335000,14.790000,13.820000,13.980000,11.789305,128274127
2018-02-01,14.045000,14.140000,12.470000,12.875000,10.857460,155698006
2018-03-01,12.845000,13.685000,12.165000,13.555000,11.430904,168377240
2018-04-01,13.555000,14.555000,13.500000,14.550000,12.269985,99646106
2018-05-01,14.550000,14.815000,13.460000,13.535000,11.414038,124474469
2018-06-01,13.625000,14.075000,13.025000,13.130000,11.344459,134290775
2018-07-01,13.050000,14.275000,12.985000,13.815000,11.936306,109529793
2018-08-01,13.805000,13.810000,12.610000,12.630000,10.912453,96656441
2018-09-01,12.605000,12.725000,12.075000,12.665000,10.942694,136538428
2018-10-01,12.665000,12.865000,11.310000,11.775000,10.173723,162654399
2018-11-01,11.745000,12.735000,11.730000,12.420000,11.050181,137687159
2018-12-01,12.605000,13.060000,11.915000,12.525000,11.143600,122806293
2019-01-01,12.525000,14.070000,12.170000,13.985000,12.442575,131052608
2019-02-01,14.005000,14.215000,13.185000,13.250000,11.788639,102292079
2019-03-01,13.270000,13.570000,13.075000,13.280000,11.815331,117374752
2019-04-01,13.330000,13.660000,12.950000,13.205000,11.748603,94527576
2019-05-01,13.205000,13.820000,12.310000,12.450000,11.076872,136870512
2019-06-01,12.410000,13.620000,12.315000,13.340000,12.201775,120614545
2019-07-01,13.485000,14.390000,13.285000,13.920000,12.732286,106303666
2019-08-01,13.830000,13.955000,13.145000,13.825000,12.645392,106364296
2019-09-01,13.800000,14.980000,13.270000,14.980000,13.701842,130915619
2019-10-01,14.990000,15.240000,14.405000,14.995000,13.715563,129818782
2019-11-01,15.055000,15.055000,13.990000,14.360000,13.134744,114471592
2019-12-01,14.490000,14.810000,14.040000,14.400000,13.171330,103472576
2020-01-01,14.400000,15.915000,14.400000,15.560000,14.232355,122477578
2020-02-01,15.480000,16.795000,14.830000,15.030000,13.747577,187811864
2020-03-01,15.220000,16.025000,9.266000,9.412000,8.608928,344937439
2020-04-01,9.200000,10.325000,8.626000,9.904000,9.058949,165759098
2020-05-01,9.904000,10.875000,8.850000,10.635000,9.727577,144560266
2020-06-01,10.750000,12.115000,10.540000,11.000000,11.000000,177959331
2020-07-01,11.005000,11.700000,10.580000,11.290000,11.290000,140850147
2020-08-01,11.440000,12.200000,11.040000,11.655000,11.655000,99530764
2020-09-01,11.750000,12.255000,11.020000,11.420000,11.420000,119421275
2020-10-01,11.530000,12.355000,10.100000,10.385000,10.385000,124857331
2020-11-01,10.410000,12.715000,10.255000,12.370000,12.370000,143535923
2020-12-01,12.430000,12.940000,11.895000,12.520000,12.520000,106157724
2021-01-01,12.520000,13.865000,12.450000,12.820000,12.820000,111099694
2021-02-01,12.795000,13.470000,12.015000,12.085000,12.085000,95204190
2021-03-01,12.305000,12.400000,11.315000,12.105000,12.105000,154016872
2021-04-01,12.168000,12.538000,12.012000,12.370000,12.370000,93249904
2021-05-01,12.392000,13.258000,12.052000,13.122000,13.122000,72034886
